step=000 action=4 queues(env)=N0,S0,E0,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 0, 'S': 0, 'E': 0, 'W': 0} reward=0.0
step=001 action=1 queues(env)=N0,S0,E0,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 0, 'S': 0, 'E': 0, 'W': 0} reward=-3.0
step=002 action=0 queues(env)=N0,S0,E0,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 0, 'S': 0, 'E': 0, 'W': 0} reward=-5.0
step=003 action=1 queues(env)=N0,S1,E0,W0 rendered_approaching={'N': 0, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 0, 'S': 0, 'E': 0, 'W': 0} reward=-6.0
step=004 action=2 queues(env)=N0,S1,E1,W0 rendered_approaching={'N': 0, 'S': 1, 'E': 1, 'W': 0} rendered_departing={'N': 0, 'S': 0, 'E': 0, 'W': 0} reward=-7.0
step=005 action=3 queues(env)=N0,S2,E1,W0 rendered_approaching={'N': 0, 'S': 2, 'E': 1, 'W': 0} rendered_departing={'N': 0, 'S': 0, 'E': 0, 'W': 0} reward=-8.2
step=006 action=3 queues(env)=N1,S3,E2,W0 rendered_approaching={'N': 1, 'S': 3, 'E': 2, 'W': 0} rendered_departing={'N': 0, 'S': 0, 'E': 0, 'W': 0} reward=-6.5
step=007 action=4 queues(env)=N1,S4,E2,W1 rendered_approaching={'N': 1, 'S': 4, 'E': 2, 'W': 1} rendered_departing={'N': 0, 'S': 0, 'E': 0, 'W': 0} reward=-22.1
step=008 action=3 queues(env)=N1,S4,E2,W0 rendered_approaching={'N': 1, 'S': 4, 'E': 2, 'W': 0} rendered_departing={'N': 0, 'S': 0, 'E': 0, 'W': 1} reward=-11.8
step=009 action=3 queues(env)=N1,S4,E2,W0 rendered_approaching={'N': 1, 'S': 4, 'E': 2, 'W': 0} rendered_departing={'N': 0, 'S': 0, 'E': 0, 'W': 1} reward=-9.5
step=010 action=0 queues(env)=N1,S3,E2,W1 rendered_approaching={'N': 1, 'S': 3, 'E': 2, 'W': 1} rendered_departing={'N': 0, 'S': 1, 'E': 0, 'W': 1} reward=-13.7
step=011 action=3 queues(env)=N1,S4,E1,W1 rendered_approaching={'N': 1, 'S': 4, 'E': 1, 'W': 1} rendered_departing={'N': 0, 'S': 1, 'E': 1, 'W': 1} reward=-13.7
step=012 action=4 queues(env)=N1,S4,E1,W2 rendered_approaching={'N': 1, 'S': 4, 'E': 1, 'W': 2} rendered_departing={'N': 0, 'S': 1, 'E': 1, 'W': 1} reward=-23.4
step=013 action=2 queues(env)=N0,S4,E1,W3 rendered_approaching={'N': 0, 'S': 4, 'E': 1, 'W': 3} rendered_departing={'N': 1, 'S': 1, 'E': 1, 'W': 1} reward=-13.9
step=014 action=2 queues(env)=N0,S5,E1,W3 rendered_approaching={'N': 0, 'S': 5, 'E': 1, 'W': 3} rendered_departing={'N': 1, 'S': 1, 'E': 1, 'W': 1} reward=-12.7
step=015 action=0 queues(env)=N0,S3,E2,W4 rendered_approaching={'N': 0, 'S': 3, 'E': 2, 'W': 4} rendered_departing={'N': 1, 'S': 3, 'E': 1, 'W': 1} reward=-16.9
step=016 action=3 queues(env)=N0,S3,E1,W5 rendered_approaching={'N': 0, 'S': 3, 'E': 1, 'W': 5} rendered_departing={'N': 1, 'S': 3, 'E': 2, 'W': 1} reward=-16.8
step=017 action=3 queues(env)=N0,S3,E0,W4 rendered_approaching={'N': 0, 'S': 3, 'E': 0, 'W': 4} rendered_departing={'N': 1, 'S': 3, 'E': 3, 'W': 2} reward=-7.8
step=018 action=2 queues(env)=N0,S2,E0,W5 rendered_approaching={'N': 0, 'S': 2, 'E': 0, 'W': 5} rendered_departing={'N': 1, 'S': 4, 'E': 3, 'W': 2} reward=-14.7
step=019 action=2 queues(env)=N0,S3,E0,W6 rendered_approaching={'N': 0, 'S': 3, 'E': 0, 'W': 6} rendered_departing={'N': 1, 'S': 4, 'E': 3, 'W': 2} reward=-12.4
step=020 action=0 queues(env)=N0,S3,E1,W7 rendered_approaching={'N': 0, 'S': 3, 'E': 1, 'W': 7} rendered_departing={'N': 1, 'S': 4, 'E': 3, 'W': 2} reward=-19.4
step=021 action=3 queues(env)=N0,S4,E0,W6 rendered_approaching={'N': 0, 'S': 4, 'E': 0, 'W': 6} rendered_departing={'N': 1, 'S': 4, 'E': 4, 'W': 3} reward=-16.5
step=022 action=1 queues(env)=N1,S4,E0,W5 rendered_approaching={'N': 1, 'S': 4, 'E': 0, 'W': 5} rendered_departing={'N': 1, 'S': 4, 'E': 4, 'W': 4} reward=-18.6
step=023 action=0 queues(env)=N1,S2,E1,W6 rendered_approaching={'N': 1, 'S': 2, 'E': 1, 'W': 6} rendered_departing={'N': 1, 'S': 6, 'E': 4, 'W': 4} reward=-18.2
step=024 action=0 queues(env)=N0,S1,E1,W6 rendered_approaching={'N': 0, 'S': 1, 'E': 1, 'W': 6} rendered_departing={'N': 2, 'S': 7, 'E': 4, 'W': 4} reward=-9.7
step=025 action=2 queues(env)=N0,S2,E2,W6 rendered_approaching={'N': 0, 'S': 2, 'E': 2, 'W': 6} rendered_departing={'N': 2, 'S': 7, 'E': 4, 'W': 4} reward=-19.5
step=026 action=0 queues(env)=N0,S0,E3,W6 rendered_approaching={'N': 0, 'S': 0, 'E': 3, 'W': 6} rendered_departing={'N': 2, 'S': 9, 'E': 4, 'W': 4} reward=-16.9
step=027 action=2 queues(env)=N1,S0,E3,W6 rendered_approaching={'N': 1, 'S': 0, 'E': 3, 'W': 6} rendered_departing={'N': 2, 'S': 9, 'E': 4, 'W': 4} reward=-20.8
step=028 action=0 queues(env)=N1,S0,E3,W6 rendered_approaching={'N': 1, 'S': 0, 'E': 3, 'W': 6} rendered_departing={'N': 2, 'S': 9, 'E': 4, 'W': 4} reward=-19.7
step=029 action=4 queues(env)=N2,S0,E4,W6 rendered_approaching={'N': 2, 'S': 0, 'E': 4, 'W': 6} rendered_departing={'N': 2, 'S': 9, 'E': 4, 'W': 4} reward=-32.7
step=030 action=4 queues(env)=N3,S1,E4,W7 rendered_approaching={'N': 3, 'S': 1, 'E': 4, 'W': 7} rendered_departing={'N': 2, 'S': 9, 'E': 4, 'W': 4} reward=-23.9
step=031 action=4 queues(env)=N3,S2,E4,W8 rendered_approaching={'N': 3, 'S': 2, 'E': 4, 'W': 7} rendered_departing={'N': 2, 'S': 9, 'E': 4, 'W': 4} reward=-27.4
step=032 action=3 queues(env)=N3,S2,E4,W7 rendered_approaching={'N': 3, 'S': 2, 'E': 4, 'W': 7} rendered_departing={'N': 2, 'S': 9, 'E': 4, 'W': 4} reward=-31.4
step=033 action=1 queues(env)=N4,S3,E3,W6 rendered_approaching={'N': 4, 'S': 3, 'E': 3, 'W': 6} rendered_departing={'N': 2, 'S': 9, 'E': 5, 'W': 5} reward=-29.5
step=034 action=0 queues(env)=N4,S2,E3,W7 rendered_approaching={'N': 4, 'S': 2, 'E': 3, 'W': 7} rendered_departing={'N': 2, 'S': 10, 'E': 5, 'W': 5} reward=-30.1
step=035 action=1 queues(env)=N5,S2,E2,W6 rendered_approaching={'N': 5, 'S': 2, 'E': 2, 'W': 6} rendered_departing={'N': 2, 'S': 10, 'E': 6, 'W': 6} reward=-26.5
step=036 action=3 queues(env)=N5,S3,E2,W7 rendered_approaching={'N': 5, 'S': 3, 'E': 2, 'W': 7} rendered_departing={'N': 2, 'S': 10, 'E': 6, 'W': 6} reward=-30.0
step=037 action=1 queues(env)=N6,S4,E2,W5 rendered_approaching={'N': 6, 'S': 4, 'E': 2, 'W': 5} rendered_departing={'N': 2, 'S': 10, 'E': 6, 'W': 8} reward=-27.8
step=038 action=2 queues(env)=N6,S4,E3,W5 rendered_approaching={'N': 6, 'S': 4, 'E': 3, 'W': 5} rendered_departing={'N': 2, 'S': 10, 'E': 6, 'W': 8} reward=-29.6
step=039 action=4 queues(env)=N6,S4,E4,W5 rendered_approaching={'N': 6, 'S': 4, 'E': 4, 'W': 5} rendered_departing={'N': 2, 'S': 10, 'E': 6, 'W': 8} reward=-40.4
step=040 action=1 queues(env)=N6,S5,E3,W5 rendered_approaching={'N': 6, 'S': 5, 'E': 3, 'W': 5} rendered_departing={'N': 2, 'S': 10, 'E': 7, 'W': 8} reward=-32.3
step=041 action=2 queues(env)=N6,S6,E3,W6 rendered_approaching={'N': 6, 'S': 6, 'E': 3, 'W': 6} rendered_departing={'N': 2, 'S': 10, 'E': 7, 'W': 8} reward=-36.2
step=042 action=0 queues(env)=N4,S5,E4,W7 rendered_approaching={'N': 4, 'S': 5, 'E': 4, 'W': 7} rendered_departing={'N': 4, 'S': 10, 'E': 7, 'W': 8} reward=-34.1
step=043 action=0 queues(env)=N2,S4,E5,W7 rendered_approaching={'N': 2, 'S': 4, 'E': 5, 'W': 7} rendered_departing={'N': 6, 'S': 10, 'E': 7, 'W': 8} reward=-26.4
step=044 action=4 queues(env)=N2,S5,E5,W8 rendered_approaching={'N': 2, 'S': 5, 'E': 5, 'W': 7} rendered_departing={'N': 6, 'S': 10, 'E': 7, 'W': 8} reward=-43.2
step=045 action=4 queues(env)=N2,S6,E6,W8 rendered_approaching={'N': 2, 'S': 6, 'E': 6, 'W': 7} rendered_departing={'N': 6, 'S': 10, 'E': 7, 'W': 8} reward=-34.2
step=046 action=0 queues(env)=N1,S5,E6,W8 rendered_approaching={'N': 1, 'S': 5, 'E': 6, 'W': 7} rendered_departing={'N': 7, 'S': 10, 'E': 7, 'W': 8} reward=-37.5
step=047 action=0 queues(env)=N0,S4,E6,W8 rendered_approaching={'N': 0, 'S': 4, 'E': 6, 'W': 7} rendered_departing={'N': 8, 'S': 10, 'E': 7, 'W': 8} reward=-27.9
step=048 action=4 queues(env)=N1,S5,E7,W8 rendered_approaching={'N': 1, 'S': 5, 'E': 7, 'W': 7} rendered_departing={'N': 8, 'S': 10, 'E': 7, 'W': 8} reward=-47.7
step=049 action=3 queues(env)=N2,S5,E8,W8 rendered_approaching={'N': 2, 'S': 5, 'E': 7, 'W': 7} rendered_departing={'N': 8, 'S': 10, 'E': 7, 'W': 8} reward=-43.8
step=050 action=1 queues(env)=N2,S5,E7,W7 rendered_approaching={'N': 2, 'S': 5, 'E': 7, 'W': 7} rendered_departing={'N': 8, 'S': 10, 'E': 7, 'W': 8} reward=-39.9
step=051 action=1 queues(env)=N2,S6,E7,W6 rendered_approaching={'N': 2, 'S': 6, 'E': 7, 'W': 6} rendered_departing={'N': 8, 'S': 10, 'E': 7, 'W': 9} reward=-34.2
