step=000 action=4 queues(env)=N0,S0,E0,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 0, 'S': 0, 'E': 0, 'W': 0} reward=0.0
step=001 action=0 queues(env)=N0,S0,E1,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 0} rendered_departing={'N': 0, 'S': 0, 'E': 0, 'W': 0} reward=1.0
step=002 action=0 queues(env)=N0,S0,E1,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 0} rendered_departing={'N': 0, 'S': 0, 'E': 0, 'W': 0} reward=-1.1
step=003 action=0 queues(env)=N0,S0,E2,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 2, 'W': 0} rendered_departing={'N': 0, 'S': 0, 'E': 0, 'W': 0} reward=-0.2
step=004 action=1 queues(env)=N0,S1,E0,W0 rendered_approaching={'N': 0, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 0, 'S': 0, 'E': 2, 'W': 0} reward=-2.0
step=005 action=1 queues(env)=N0,S2,E0,W0 rendered_approaching={'N': 0, 'S': 2, 'E': 0, 'W': 0} rendered_departing={'N': 0, 'S': 0, 'E': 2, 'W': 0} reward=-0.1
step=006 action=0 queues(env)=N0,S1,E1,W1 rendered_approaching={'N': 0, 'S': 1, 'E': 1, 'W': 1} rendered_departing={'N': 0, 'S': 1, 'E': 2, 'W': 0} reward=-8.0
step=007 action=0 queues(env)=N0,S1,E2,W1 rendered_approaching={'N': 0, 'S': 1, 'E': 2, 'W': 1} rendered_departing={'N': 0, 'S': 1, 'E': 2, 'W': 0} reward=-4.2
step=008 action=1 queues(env)=N0,S1,E1,W0 rendered_approaching={'N': 0, 'S': 1, 'E': 1, 'W': 0} rendered_departing={'N': 0, 'S': 1, 'E': 3, 'W': 1} reward=-5.2
step=009 action=1 queues(env)=N0,S1,E0,W0 rendered_approaching={'N': 0, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 0, 'S': 1, 'E': 4, 'W': 1} reward=0.8
step=010 action=0 queues(env)=N0,S0,E1,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 0} rendered_departing={'N': 0, 'S': 2, 'E': 4, 'W': 1} reward=-4.0
step=011 action=0 queues(env)=N0,S0,E1,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 0} rendered_departing={'N': 0, 'S': 2, 'E': 4, 'W': 1} reward=-1.1
step=012 action=1 queues(env)=N0,S1,E1,W0 rendered_approaching={'N': 0, 'S': 1, 'E': 1, 'W': 0} rendered_departing={'N': 0, 'S': 2, 'E': 4, 'W': 1} reward=-7.0
step=013 action=1 queues(env)=N0,S2,E0,W0 rendered_approaching={'N': 0, 'S': 2, 'E': 0, 'W': 0} rendered_departing={'N': 0, 'S': 2, 'E': 5, 'W': 1} reward=-0.1
step=014 action=0 queues(env)=N0,S1,E0,W1 rendered_approaching={'N': 0, 'S': 1, 'E': 0, 'W': 1} rendered_departing={'N': 0, 'S': 3, 'E': 5, 'W': 1} reward=-5.1
step=015 action=0 queues(env)=N0,S0,E1,W2 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 2} rendered_departing={'N': 0, 'S': 4, 'E': 5, 'W': 1} reward=0.9
step=016 action=1 queues(env)=N0,S0,E1,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 1} rendered_departing={'N': 0, 'S': 4, 'E': 5, 'W': 2} reward=-7.1
step=017 action=1 queues(env)=N0,S0,E1,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 0} rendered_departing={'N': 0, 'S': 4, 'E': 5, 'W': 3} reward=1.0
step=018 action=1 queues(env)=N0,S1,E0,W0 rendered_approaching={'N': 0, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 0, 'S': 4, 'E': 6, 'W': 3} reward=1.0
step=019 action=1 queues(env)=N0,S2,E0,W0 rendered_approaching={'N': 0, 'S': 2, 'E': 0, 'W': 0} rendered_departing={'N': 0, 'S': 4, 'E': 6, 'W': 3} reward=-0.1
step=020 action=0 queues(env)=N0,S1,E1,W1 rendered_approaching={'N': 0, 'S': 1, 'E': 1, 'W': 1} rendered_departing={'N': 0, 'S': 5, 'E': 6, 'W': 3} reward=-8.1
step=021 action=0 queues(env)=N0,S1,E1,W2 rendered_approaching={'N': 0, 'S': 1, 'E': 1, 'W': 2} rendered_departing={'N': 0, 'S': 5, 'E': 6, 'W': 3} reward=-2.2
step=022 action=0 queues(env)=N0,S0,E1,W3 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 3} rendered_departing={'N': 0, 'S': 6, 'E': 6, 'W': 3} reward=-2.5
step=023 action=1 queues(env)=N0,S1,E0,W3 rendered_approaching={'N': 0, 'S': 1, 'E': 0, 'W': 3} rendered_departing={'N': 0, 'S': 6, 'E': 7, 'W': 3} reward=-7.3
step=024 action=1 queues(env)=N1,S2,E0,W2 rendered_approaching={'N': 1, 'S': 2, 'E': 0, 'W': 2} rendered_departing={'N': 0, 'S': 6, 'E': 7, 'W': 4} reward=-5.4
step=025 action=0 queues(env)=N1,S0,E1,W2 rendered_approaching={'N': 1, 'S': 0, 'E': 1, 'W': 2} rendered_departing={'N': 0, 'S': 8, 'E': 7, 'W': 4} reward=-7.5
step=026 action=1 queues(env)=N2,S1,E0,W0 rendered_approaching={'N': 2, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 0, 'S': 8, 'E': 8, 'W': 6} reward=-4.1
step=027 action=0 queues(env)=N0,S0,E1,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 1} rendered_departing={'N': 2, 'S': 9, 'E': 8, 'W': 6} reward=-3.0
step=028 action=1 queues(env)=N0,S1,E1,W1 rendered_approaching={'N': 0, 'S': 1, 'E': 1, 'W': 1} rendered_departing={'N': 2, 'S': 9, 'E': 8, 'W': 6} reward=-8.0
step=029 action=1 queues(env)=N1,S1,E0,W0 rendered_approaching={'N': 1, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 2, 'S': 9, 'E': 9, 'W': 7} reward=1.9
step=030 action=0 queues(env)=N0,S0,E0,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 3, 'S': 10, 'E': 9, 'W': 7} reward=-1.0
