#{"t_start": 1784785215.644921, "env_id": "None"}
r,l,t
-6897.2,191,0.069541
-2457.4,43,0.083157
-1738.6,42,0.097296
-5237.8,95,0.128144
-7490.1,243,0.205494
-2709.3,57,0.224212
-1285.0,38,0.235686
-2913.9,54,0.253178
-2226.0,44,0.267522
-2014.0,42,0.280718
-3283.3,56,0.298545
-2090.2,41,0.312349
-2897.1,57,0.330068
-2639.9,54,0.347282
-3277.7,63,0.366982
-1300.7,37,0.379104
-2440.6,52,0.395247
-1415.5,40,0.408233
-2372.4,49,0.424097
-1500.6,42,0.43709
-3157.9,55,0.454802
-2498.3,45,0.469261
-2306.2,48,0.48481
-2388.2,46,0.499462
-2394.7,51,0.515668
-1623.2,41,0.529363
-1335.4,37,0.540826
-2189.0,50,0.556683
-1903.3,49,0.572329
-1768.8,36,0.583573
-1990.1,46,0.59807
-2733.1,51,0.614163
-1278.1,37,0.626539
-1813.9,40,0.639491
-1851.8,43,0.652718
-2064.4,46,0.66817
-1671.7,43,0.681444
-1212.3,34,0.692499
-1955.8,43,0.70648
-2478.4,52,0.72241
-3030.1,55,0.73978
-2637.6,50,0.755896
-2010.3,47,0.770384
-2650.1,51,0.787381
-1071.0,35,0.798429
-1259.5,38,0.809978
-3323.3,59,0.828762
-2733.1,52,0.844897
-3729.5,64,0.865328
-2228.4,48,0.881137
-2029.9,47,0.895494
-1577.6,41,0.908494
-1496.3,36,0.920619
-2043.8,52,0.936731
-1641.5,42,0.949823
-1932.6,49,0.965575
-1548.2,37,0.977904
-1951.2,43,0.991176
-2583.8,57,1.01007
-2195.8,47,1.024998
-1703.7,46,1.039441
-2852.4,56,1.057053
-2387.4,49,1.072695
-2299.1,46,1.087266
-2157.2,50,1.103358
-4662.5,64,1.125017
-2501.7,47,1.140807
-2286.5,54,1.157167
-1802.0,43,1.17215
-1403.4,35,1.183233
-2042.4,44,1.197475
-2080.9,45,1.212162
-2275.9,45,1.2269
-3935.9,57,1.245239
-3224.4,60,1.264656
-3157.4,57,1.283444
-1832.6,43,1.296972
-1576.3,38,1.309654
-1829.4,51,1.325985
-2321.1,52,1.342473
-2013.4,45,1.357388
-2765.8,53,1.374959
-2125.1,49,1.391261
-1794.5,44,1.405857
-2011.7,42,1.419402
-3399.7,60,1.439052
-2495.3,49,1.455296
-2628.6,50,1.471571
-2143.4,45,1.486023
-2666.3,47,1.500766
-2968.1,55,1.51873
-2027.3,44,1.53373
-2147.5,49,1.549697
-3056.3,57,1.567741
-2285.8,47,1.583853
-3119.4,54,1.600848
-2061.9,43,1.615145
-1995.3,46,1.629956
-3037.1,53,1.64713
-2053.5,47,1.661885
-1824.8,41,1.674824
-3027.6,55,1.69278
-2560.9,47,1.7087
-1109.2,35,1.720252
-3059.5,50,1.73674
-1723.6,43,1.750053
-1877.4,47,1.765742
-1247.0,36,1.777312
-3753.6,56,1.795505
-3663.2,55,1.813167
-2482.9,47,1.82882
-2457.6,50,1.844934
-1503.1,38,1.856665
-1385.4,36,1.868031
-3379.1,57,1.887161
-1435.2,41,1.900222
-2163.7,44,1.914496
-3016.6,57,1.932537
-2204.5,45,1.947328
-2559.9,47,1.963082
-2384.2,54,1.979909
-3665.5,62,2.000422
-1184.2,37,2.011763
-2426.4,48,2.027546
-1250.6,37,2.039182
-2404.8,49,2.05529
-1946.2,46,2.07007
-1985.1,43,2.084443
-2162.2,46,2.099393
-2748.7,48,2.115207
-3440.9,57,2.133128
-1840.5,44,2.147237
-1865.8,46,2.161889
-1704.2,43,2.17598
-2746.8,52,2.192338
-1545.1,38,2.204762
-2072.5,47,2.219361
-3150.7,57,2.237546
-2500.1,45,2.252015
-1975.4,46,2.267411
-1894.4,45,2.281923
-2125.5,45,2.296345
-1636.7,39,2.308221
-2792.4,53,2.325519
-1783.3,38,2.33815
-1793.7,42,2.351235
-2165.4,47,2.366191
-2448.6,46,2.381604
-1811.2,44,2.395181
-3026.3,55,2.412968
-1144.8,34,2.424028
-2193.0,49,2.439928
-2456.0,53,2.458189
-3504.3,56,2.476174
-1428.4,38,2.487918
-2523.3,47,2.503545
-942.6,32,2.513566
-2224.0,44,2.527831
-2682.3,52,2.544217
-1989.0,40,2.557466
-2213.0,45,2.57178
-2255.5,49,2.588176
-1241.4,35,2.599525
-1816.7,45,2.614108
-2455.9,44,2.628275
-2099.0,43,2.642441
-2358.6,48,2.657308
-2109.0,44,2.671581
-2341.5,48,2.687551
-2667.2,53,2.704124
-2807.4,51,2.720291
-2853.3,58,2.739543
-1365.3,38,2.752185
-2214.6,45,2.766917
-1290.3,35,2.778183
-1692.8,37,2.789645
-2805.8,52,2.805734
-1601.6,42,2.823627
-1605.0,45,2.837909
-3813.1,65,2.858904
-3830.5,60,2.878062
-2936.6,53,2.894391
-1767.6,41,2.908272
-2430.1,47,2.922946
-1938.3,43,2.937176
-1608.1,39,2.949
-1993.9,42,2.962975
-1763.9,38,2.974489
-2951.3,53,2.99186
-2146.9,50,3.007549
-2009.6,48,3.023133
-2812.1,51,3.039228
-1867.3,45,3.05292
-2084.7,47,3.06763
-1535.8,43,3.081534
-2118.2,45,3.096013
-2664.7,53,3.112694
-1370.7,40,3.125826
-2995.7,51,3.143029
-2063.8,48,3.158098
-2078.3,49,3.173961
-2578.3,53,3.191375
-2808.8,55,3.209095
-2105.5,42,3.222177
-4212.7,61,3.242461
-1666.9,42,3.256457
-1384.2,38,3.268621
-2950.1,52,3.28607
-3453.3,59,3.304787
-2808.1,53,3.322679
-1891.8,44,3.337107
-3199.2,55,3.355032
-1494.2,40,3.367838
-2483.5,49,3.383864
-1775.0,45,3.398631
-1400.8,38,3.410833
-2912.8,48,3.426966
-1449.6,41,3.439877
-2340.8,50,3.457178
-3357.0,58,3.478569
-2432.8,51,3.495267
-1903.7,44,3.509934
-2088.8,45,3.52471
-1807.6,45,3.539288
-2179.4,51,3.555715
-1892.3,41,3.568928
-1412.6,37,3.58084
-2083.1,46,3.59657
-1870.8,43,3.610282
-1695.1,40,3.623278
-2608.3,56,3.641363
-2032.4,44,3.655827
-1300.1,40,3.66889
-2739.7,49,3.68511
-2530.3,53,3.702764
-2545.3,54,3.719918
-2786.4,53,3.737519
-2953.2,53,3.755262
-2642.4,50,3.7716
-1844.5,42,3.784803
-2800.7,53,3.80214
-1820.6,44,3.815674
-3345.3,54,3.833296
-2836.2,51,3.849644
-1788.1,39,3.862385
-2494.1,51,3.878919
-2917.6,59,3.898081
-1979.5,46,3.912861
-1935.1,48,3.928947
-2941.4,62,3.948889
-3235.3,58,3.968211
-3191.9,57,3.986539
-3779.7,61,4.00732
-1936.1,41,4.020717
-3224.3,57,4.039028
-1334.9,35,4.050437
-1289.6,32,4.061449
-2347.6,45,4.076195
-1522.1,41,4.089996
-1462.6,35,4.101377
-2322.0,49,4.117693
-2341.7,52,4.134156
-2737.8,52,4.150593
-1465.7,44,4.165262
-2116.9,46,4.180137
-1335.5,40,4.19306
-2079.2,47,4.209016
-2480.2,49,4.225378
-1710.2,45,4.245648
-2489.8,51,4.270702
-1835.8,45,4.285467
-2927.1,53,4.302174
-2352.5,47,4.318017
-1830.3,44,4.33239
-1358.5,40,4.345573
-1836.2,43,4.358389
-3500.0,57,4.378504
-2087.8,42,4.391929
-1765.7,45,4.406941
-2482.3,51,4.423702
-2048.5,43,4.437931
-1696.4,49,4.453923
-2304.1,48,4.468747
-3169.0,57,4.487503
-1680.7,40,4.500184
-2774.8,53,4.516494
-1240.9,39,4.528992
-2997.0,51,4.544912
-3787.0,63,4.565187
-1634.5,42,4.578014
-1995.7,46,4.592604
-2049.4,45,4.606995
-2373.1,51,4.623951
-2579.3,49,4.638865
-1589.0,42,4.65272
-2104.2,48,4.667485
-3328.0,59,4.686403
-2592.9,54,4.703654
-1453.4,39,4.716247
-2811.6,54,4.733469
-3333.3,57,4.751154
-4000.1,61,4.770426
-3157.6,50,4.786204
-1529.5,38,4.798602
-2060.2,46,4.813015
-1757.5,40,4.825818
-2154.4,52,4.842082
-2064.5,47,4.857414
-1550.8,38,4.868863
-3824.6,64,4.889372
-2028.7,42,4.903233
-1835.9,39,4.914864
-2254.8,47,4.930239
-2772.6,50,4.946024
-2970.8,53,4.962629
-2142.8,50,4.978615
-2348.0,50,4.994577
-1844.1,43,5.008862
-3029.2,56,5.026643
-2672.8,55,5.04429
-2455.5,49,5.060178
-3223.5,58,5.079199
-1653.8,41,5.092344
-2438.3,52,5.108739
-2840.3,53,5.1262
-2559.9,51,5.142327
-1934.8,43,5.156329
-3165.7,53,5.172838
-1804.3,47,5.188371
-1553.4,38,5.200047
-3052.8,56,5.217549
-2538.6,49,5.232946
-1652.4,37,5.244931
-2132.4,47,5.259767
-2798.0,52,5.276034
-4450.0,61,5.296383
-2781.1,53,5.312763
-1819.5,39,5.325684
-1649.7,43,5.339762
-928.6,31,5.349406
-3242.7,61,5.368898
-3794.6,60,5.388068
-2182.1,50,5.404082
-2370.4,49,5.419599
-2029.3,47,5.434504
-2591.1,60,5.453959
-2897.0,54,5.47141
-3570.3,55,5.489031
-1189.5,35,5.500101
-2784.7,52,5.517012
-2632.8,47,5.532542
-3224.8,54,5.550319
-2696.2,58,5.568434
-2173.7,50,5.584592
-2139.8,44,5.598889
-3621.4,57,5.616886
-1901.6,42,5.630976
-1363.7,40,5.64373
-2508.5,49,5.659395
-1604.9,43,5.672864
-1816.2,48,5.688656
-2190.0,45,5.703065
-1858.0,45,5.721607
-2584.8,55,5.741308
-2397.2,50,5.757286
-3182.5,59,5.776135
-3316.2,57,5.794217
-1904.5,47,5.808973
-2743.0,49,5.824703
-3354.9,57,5.843625
-2446.9,45,5.858127
-2552.7,51,5.874264
-1902.6,45,5.888834
-2449.3,52,5.905138
-2193.9,47,5.920855
-1751.9,44,5.934275
-2201.3,46,5.949735
-2807.5,53,5.96602
-2978.3,57,5.984973
-2044.6,48,5.999995
-2127.6,46,6.014664
-1740.4,43,6.028874
-2303.9,49,6.045097
-1857.1,46,6.059646
-2586.5,50,6.075754
-1976.0,45,6.090086
-2218.6,49,6.10614
-2825.9,56,6.123926
-2263.3,49,6.139872
-2907.2,48,6.154917
-1230.9,36,6.167281
-2114.6,51,6.183571
-2591.2,49,6.199385
-2249.6,48,6.214336
-2412.7,48,6.230097
-2318.8,46,6.244823
-3153.3,54,6.262487
-1915.1,45,6.276969
-2655.7,54,6.294541
-1169.2,39,6.3063
-2222.0,48,6.322045
-2446.1,51,6.338296
-2587.6,52,6.35532
-3329.7,54,6.372101
-1630.8,39,6.385007
-1793.9,45,6.39977
-2821.9,54,6.417621
-3429.3,55,6.435702
-1719.2,40,6.447985
-2401.6,46,6.461876
-3118.5,60,6.479951
-2494.4,49,6.495936
-2116.5,51,6.512368
-1831.3,46,6.526859
-2273.1,45,6.541317
-3272.0,63,6.560657
-1960.6,41,6.573579
-2964.9,53,6.591327
-2543.5,50,6.607562
-1829.5,47,6.622463
-2697.9,57,6.641439
-2651.0,53,6.658205
-1845.1,43,6.672386
-2938.9,57,6.690561
-3405.9,59,6.709423
-2372.1,44,6.723893
-2012.6,45,6.73854
-3175.4,56,6.756366
-3141.4,54,6.773951
-3060.9,56,6.7922
-3554.6,56,6.810145
-2108.5,47,6.82565
-3957.6,64,6.845927
-1876.5,47,6.861591
-1787.4,42,6.874859
-2032.2,44,6.889554
-1920.8,45,6.903879
-1662.8,40,6.916367
-2647.1,49,6.932413
-1412.3,35,6.943624
-2121.4,48,6.958732
-1743.2,48,6.974451
-2371.5,50,6.990588
-1955.2,45,7.005318
-2425.6,49,7.021591
-1902.8,41,7.034681
-1803.7,43,7.049087
-2334.6,48,7.063947
-3174.2,52,7.081333
-2707.7,55,7.099145
-2108.0,46,7.113906
-2279.7,47,7.128815
-2169.6,46,7.143675
-1937.2,46,7.159181
-2380.1,46,7.174195
-1465.5,36,7.185593
-2171.6,45,7.199826
-1867.5,47,7.214518
-2892.0,52,7.231662
-3411.7,60,7.253252
-3044.9,58,7.271345
-3407.3,63,7.291482
-1952.8,42,7.30485
-1846.0,46,7.320334
-3945.1,71,7.342758
-3196.2,53,7.359298
-3497.6,54,7.376833
-1471.4,40,7.389684
-2093.9,45,7.404301
-3202.1,60,7.423812
-2381.6,50,7.439814
-1544.4,37,7.452569
-2862.0,57,7.470836
-2038.8,43,7.485108
-2170.4,43,7.498461
-1632.9,44,7.512746
-1219.6,39,7.52549
-2318.1,59,7.544628
-2143.4,42,7.557888
-3608.9,62,7.577419
-2479.7,53,7.594577
-2729.2,55,7.612428
-3347.2,57,7.630329
-2505.5,50,7.646233
-1472.6,43,7.660296
-3290.8,54,7.677656
-2399.9,43,7.691093
-2476.9,50,7.707031
-2996.3,52,7.723432
-2563.5,56,7.739966
-3097.1,57,7.756847
-2628.3,52,7.772686
-1868.5,45,7.786397
-1826.3,45,7.800144
-1627.4,39,7.81184
-1899.6,45,7.825279
-2225.2,46,7.839493
-1321.6,38,7.851155
-1889.4,41,7.865291
-1321.8,37,7.87635
-2950.4,53,7.893174
-3193.4,55,7.910888
-2415.5,49,7.925982
-2703.7,50,7.941926
-2009.2,44,7.956245
-2479.2,51,7.972588
-2071.9,45,7.987506
-2072.5,42,8.001568
-2210.3,47,8.016381
-1799.7,43,8.030537
-3365.9,55,8.048262
-3186.8,60,8.067513
-1873.8,45,8.081868
-1382.8,36,8.093248
-2148.2,45,8.107682
-2226.8,46,8.122074
-3576.7,62,8.142327
-2321.6,47,8.157215
-2499.4,55,8.174765
-2669.4,49,8.190509
-2132.5,49,8.206134
-2067.4,44,8.219114
-2823.6,51,8.236908
-1638.9,37,8.248476
-2189.1,45,8.263
-1378.6,39,8.275705
-4299.8,70,8.298371
-2289.1,46,8.313151
-1548.6,45,8.328063
-3107.2,60,8.347501
-2208.4,50,8.36371
-1870.6,45,8.378492
-2210.6,49,8.394507
-2336.6,47,8.409228
-2100.1,44,8.42391
-2754.7,49,8.440237
-2058.2,44,8.454996
-1639.3,43,8.46856
-2065.4,40,8.48168
-1595.2,39,8.494598
-2356.0,43,8.508963
-2591.3,54,8.525917
-1420.9,38,8.538686
-2864.8,52,8.555536
-7545.7,89,8.585452
-5136.1,110,8.622394
-2262.7,69,8.645072
-2260.4,53,8.662639
-3159.9,54,8.67969
-9280.7,122,8.720823
-1791.0,44,8.735518
-2700.7,51,8.752217
-1716.7,39,8.765421
-1264.6,34,8.776167
-2345.5,46,8.792271
-2635.7,50,8.809071
-1575.5,39,8.821156
-1721.9,36,8.833778
-3265.4,50,8.850312
-2909.0,51,8.867081
-4987.3,89,8.896661
-2094.1,42,8.910362
-1127.8,39,8.923497
-1549.8,41,8.936903
-3436.8,55,8.955101
-1999.2,43,8.969614
-2025.2,42,8.983148
-2792.5,47,8.998142
-2765.3,52,9.016039
-2404.9,55,9.034381
-3051.1,52,9.05139
-2148.9,49,9.067899
-2599.1,48,9.084081
-1461.1,36,9.095974
-1891.5,44,9.110583
-3600.3,53,9.127893
-3493.5,53,9.146021
-1523.0,40,9.15961
-1995.1,44,9.174584
-1942.0,41,9.187985
-2152.3,40,9.201396
-2339.8,43,9.215452
-2330.2,50,9.231939
-2828.3,48,9.248331
-2687.1,51,9.265339
-2832.0,52,9.283128
-2224.3,50,9.299925
-2798.2,47,9.31533
-2448.1,49,9.331703
-2086.7,40,9.344949
-1949.5,42,9.358343
-2340.8,52,9.376113
-2314.0,44,9.390053
-3163.6,55,9.408781
-1966.1,45,9.423933
-2106.5,46,9.440018
-1591.6,43,9.453824
-3393.8,49,9.470799
-2482.5,49,9.486889
-2002.7,49,9.502966
-2909.3,52,9.52
-2636.1,55,9.537748
-2743.7,45,9.552319
-2206.2,49,9.568287
-2185.4,42,9.581487
-2776.8,44,9.595911
-1390.4,33,9.607011
-1602.5,39,9.618974
-3699.4,60,9.638516
-2278.1,40,9.651445
-1920.1,47,9.667122
-2517.0,48,9.682047
-1899.3,43,9.696249
-1832.0,47,9.711104
-2900.9,54,9.728634
-3821.8,61,9.74829
-3122.8,50,9.764393
-2496.7,51,9.781391
-2399.1,51,9.79765
-2410.0,51,9.813876
-4546.2,64,9.834746
-2912.3,47,9.849729
-1533.0,43,9.86367
-3177.6,57,9.881757
-2497.0,47,9.89737
-2641.8,49,9.9126
-2407.8,50,9.928636
-2602.4,46,9.944037
-2139.9,41,9.957209
-2154.0,44,9.971463
-2402.7,43,9.984959
-2102.7,43,9.999241
-1574.7,36,10.010804
-2834.4,52,10.027397
-3013.0,57,10.046615
-2516.0,50,10.062721
-2084.3,47,10.077854
-1818.6,44,10.092377
-2503.9,48,10.108448
-3301.1,58,10.126849
-1642.9,39,10.140409
-3582.5,58,10.159653
-3357.2,56,10.177588
-2077.5,44,10.192079
-1791.2,44,10.205738
-1746.8,36,10.218029
-1320.9,36,10.229638
-2411.4,51,10.246023
-3656.6,56,10.264304
-3448.2,54,10.281979
-3104.5,54,10.300045
-1478.0,42,10.313394
-2007.1,45,10.328051
-2012.0,43,10.34248
-2119.2,44,10.357278
-2348.0,46,10.372131
-2225.3,46,10.386896
-2577.2,48,10.402925
-2486.4,52,10.419483
-2436.5,51,10.436115
-1619.5,41,10.449213
-3682.1,55,10.467353
-1791.9,47,10.482997
-2284.7,45,10.497748
-2658.8,52,10.514596
-2437.0,47,10.530517
-2045.0,43,10.544117
-2564.2,46,10.559206
-2281.3,46,10.574818
-2380.3,44,10.58848
-2117.7,46,10.604206
-2434.2,46,10.619272
-1984.2,42,10.632681
-3224.6,56,10.650754
-2105.2,49,10.667056
-1440.7,38,10.679854
-2225.3,51,10.69616
-1639.7,41,10.709498
-2440.7,47,10.725626
-2989.0,52,10.742493
-3018.1,52,10.759228
-3222.9,52,10.776704
-2293.1,47,10.791719
-2217.3,46,10.806679
-1465.1,41,10.820699
-3041.5,58,10.839
-6271.1,110,10.874887
-2732.4,47,10.89056
-1634.5,39,10.902235
-6625.2,114,10.939534
-2211.7,44,10.953786
-2335.5,55,10.971625
-2444.9,49,10.987428
-2082.7,48,11.002211
-3149.0,55,11.019751
-2613.1,52,11.036998
-2602.6,50,11.053054
-2457.3,51,11.069337
-1432.4,41,11.082437
-1651.7,42,11.096412
-1501.9,39,11.108197
-1793.5,47,11.123668
-2607.0,50,11.139438
-2246.1,51,11.155532
-2276.4,44,11.169652
-1916.0,47,11.184233
-2833.0,59,11.203519
-2616.2,50,11.219521
-4265.1,63,11.240163
-1856.0,44,11.253744
-2305.8,47,11.26933
-4313.0,63,11.289059
-3054.7,55,11.306674
-2474.3,48,11.322488
-2702.7,51,11.338632
-2405.8,48,11.354676
-2021.2,45,11.369054
-1628.5,36,11.380469
-2242.4,49,11.396463
-2601.8,50,11.412748
-2426.6,46,11.427474
-1482.2,42,11.44084
-3668.0,54,11.458494
-1968.0,43,11.472903
-1865.9,41,11.48581
-1725.4,44,11.500088
-3893.6,88,11.528019
-2428.7,52,11.545926
-1479.1,44,11.560289
-3055.0,53,11.577408
-3076.6,55,11.595649
-2543.1,49,11.612074
-1949.5,42,11.625407
-2393.8,54,11.643249
-2658.4,48,11.659453
-1924.6,46,11.674358
-2742.9,45,11.68922
-3767.9,60,11.708866
-2555.7,48,11.724754
-1503.5,39,11.736961
-3105.5,55,11.755294
-2458.0,48,11.771504
-5939.1,500,11.93242
-1210.7,500,12.090805
-1011.2,500,12.248336
-1324.9,500,12.407412
-1073.3,500,12.565946
-962.2,500,12.723701
-1219.2,500,12.881735
-2554.4,346,12.991384
-3024.4,60,13.010795
-1832.7,46,13.025461
-4172.1,58,13.04437
-2847.1,53,13.061606
-1453.7,40,13.074495
-2251.0,48,13.089462
-2037.3,45,13.103691
-2631.4,47,13.119062
-3255.3,52,13.135222
-2503.8,54,13.152608
-2006.1,44,13.166824
-2264.9,96,13.197193
-1747.5,70,13.219173
-6374.3,386,13.341613
-4552.3,448,13.485688
-1378.6,37,13.497463
-2563.5,48,13.513296
-3599.7,62,13.533111
-1556.9,40,13.546067
-1572.7,38,13.558679
-2572.8,47,13.573813
-1402.9,35,13.585423
-2518.1,54,13.603231
-1878.5,44,13.617883
-3086.7,51,13.634434
-2183.6,49,13.650667
-3412.0,56,13.668976
-3111.7,58,13.687591
-3286.2,55,13.705625
-2726.2,52,13.7234
-1766.9,41,13.736585
-1734.6,41,13.749789
-2497.9,52,13.767256
-1923.1,45,13.781898
-1643.6,42,13.795085
-2452.6,55,13.813009
-2248.0,46,13.827777
-1854.9,44,13.84236
-816.9,33,13.853412
-1592.7,42,13.866904
-3183.8,58,13.886073
-2662.7,55,13.903982
-2675.4,52,13.92071
-1097.7,32,13.930649
-2225.8,43,13.945072
-3320.7,56,13.963358
-2099.8,50,13.979545
-1988.0,47,13.995432
-2219.7,52,14.012048
-1347.2,42,14.025346
-3001.5,52,14.04274
-2346.4,45,14.057366
-1631.1,42,14.070917
-1716.7,45,14.085475
-1900.3,44,14.100171
-1676.3,43,14.114405
-1208.8,33,14.124522
-2152.2,41,14.137608
-1059.7,36,14.149908
-2254.3,44,14.163666
-2222.2,48,14.179514
-2464.5,51,14.19609
-1660.0,43,14.210668
-1981.3,43,14.224018
-2189.0,46,14.239821
-2844.9,60,14.259453
-3396.2,60,14.279145
-2106.5,47,14.293971
-2535.7,54,14.311514
-2529.2,53,14.328479
-1969.5,45,14.343445
-3162.1,51,14.360925
-2936.2,55,14.378929
-2178.9,41,14.392182
-1220.7,35,14.40371
-2479.0,51,14.420195
-2296.2,46,14.435295
-2378.9,46,14.450379
-2288.0,52,14.467788
-2765.6,53,14.484618
-2682.3,47,14.500499
-2158.1,46,14.515138
-2130.3,46,14.529927
-1641.0,43,14.544345
-2285.0,47,14.55937
-1639.5,40,14.572434
-1937.6,44,14.586997
-2498.3,46,14.601835
-2500.6,54,14.619488
-2152.2,48,14.635572
-2265.1,48,14.650762
-1291.8,37,14.66313
-2807.9,53,14.679625
-2008.8,45,14.694211
-3152.3,54,14.711592
-1211.0,39,14.724239
-2407.7,50,14.740189
-1494.3,39,14.75265
-1877.9,43,14.765901
-1711.5,37,14.778004
-1728.2,37,14.789533
-2292.6,53,14.806721
-2657.0,49,14.821635
-1552.6,40,14.834397
-2359.9,49,14.850052
-2540.9,52,14.867028
-2041.1,47,14.881689
-3209.4,54,14.8991
-2864.6,54,14.916356
-3032.7,58,14.934192
-2311.7,43,14.948204
-3049.7,51,14.96433
-2206.2,49,14.980042
-1697.8,46,14.994507
-2586.0,48,15.010044
-2282.0,53,15.026404
-1140.3,31,15.03633
-1839.8,40,15.048995
-2674.0,53,15.066233
-2524.2,47,15.080676
-2069.0,46,15.096043
-2018.7,51,15.111954
-2376.3,53,15.128057
-2754.7,55,15.145443
-2002.3,46,15.160972
-3402.7,56,15.178634
-2233.5,53,15.195129
-3019.0,59,15.21402
-2030.6,47,15.229702
-2972.9,57,15.24763
-1670.1,43,15.26164
-5882.4,159,15.312177
-2856.9,500,15.471222
-3087.3,481,15.623237
-6434.7,304,15.720275
-2631.9,500,15.879708
-1595.7,500,16.038538
