#{"t_start": 1784785189.463369, "env_id": "None"}
r,l,t
-18945.4,421,1.029577
-18644.3,500,1.120286
-15957.7,500,1.210659
-7524.3,500,1.301386
-7805.2,500,1.517542
-4801.4,500,1.665162
-5805.5,500,1.762779
-6260.2,500,1.861977
-5422.7,500,1.967293
-3029.0,500,2.10423
-7507.2,500,2.210384
-5934.6,500,2.316046
-8002.1,500,2.422223
-8257.0,500,2.529277
-8531.8,339,2.602334
-8213.8,500,2.708339
-8788.0,500,2.815307
-4612.9,210,2.860564
-9211.3,500,2.968648
-7532.5,500,3.074586
-8473.5,500,3.181639
-4551.0,121,3.208576
-2927.9,51,3.220019
-2282.9,500,3.324883
-1721.5,500,3.429719
-1694.3,500,3.535161
-1619.7,500,3.643433
-1583.2,500,3.750642
-1796.0,500,3.856911
-1662.8,500,3.962056
-1391.4,500,4.068363
-1690.6,500,4.184103
-1485.1,500,4.292043
-1462.8,500,4.417774
-1417.3,500,4.52604
-1440.8,500,4.633976
-1410.1,500,4.737503
-1711.4,500,4.840874
-1577.5,500,4.944498
-1526.4,500,5.047667
-1707.5,500,5.151534
-1650.6,500,5.256014
-1500.1,500,5.360547
-1059.3,500,5.46427
-1044.1,500,5.566626
-1119.6,500,5.670318
-1066.6,500,5.773785
-1029.7,500,5.875933
-1102.2,500,5.97885
-960.4,500,6.081287
-1046.0,500,6.184633
-964.7,500,6.287346
-980.6,500,6.390348
-1262.1,500,6.493747
-883.8,500,6.597268
-995.4,500,6.699807
-1107.6,500,6.802389
-962.7,500,6.905119
-981.3,500,7.008134
-1106.7,500,7.11087
-900.1,500,7.214077
-911.2,500,7.31756
-1073.5,500,7.420747
-815.2,500,7.523684
-1064.8,500,7.628087
-1134.4,500,7.73166
-1131.3,500,7.8367
-791.7,500,7.940583
-997.9,500,8.044208
-1097.8,500,8.148563
-1150.9,500,8.253078
-861.0,500,8.355708
-887.0,500,8.457746
-1170.8,500,8.560209
-1307.1,500,8.664921
-1137.0,500,8.769753
-1048.2,500,8.874139
-1077.9,500,8.98044
-959.6,500,9.085286
-813.6,500,9.190096
-1057.4,500,9.294626
-1084.5,500,9.398517
-1062.1,500,9.504142
-949.8,500,9.609296
-1143.7,500,9.713845
-1281.5,500,9.818102
-1047.5,500,9.922216
-1079.4,500,10.027253
-1210.8,500,10.129879
-1144.4,500,10.231702
-1209.1,500,10.333778
-899.6,500,10.43568
-1089.8,500,10.537927
-1059.4,500,10.655774
-1203.7,500,10.759325
-1116.0,500,10.861986
-1076.5,500,10.96557
-967.1,500,11.068587
-1022.1,500,11.171965
-1016.2,500,11.274394
-1024.8,500,11.377142
-895.6,500,11.47973
