time/fps,rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,time/time_elapsed,train/n_updates,train/learning_rate,time/total_timesteps,time/episodes
1586,421.0,0.9200100000000002,-18945.4,7.130137920379639,0,80,0.001,421,1
2587,460.5,0.8250100000000001,-18794.85,2.941455364227295,0,205,0.001,921,2
3183,473.6666666666667,0.73001,-17849.13333333333,2.749256134033203,0,330,0.001,1421,3
3576,480.25,0.6350099999999999,-15267.925,3.8836636543273926,0,455,0.001,1921,4
3213,484.2,0.5400099999999999,-13775.38,2.5526509284973145,0,580,0.001,2421,5
3242,486.8333333333333,0.4450099999999998,-12279.716666666665,2.8083386421203613,0,705,0.001,2921,6
3426,488.7142857142857,0.3500099999999997,-11354.82857142857,2.4064197540283203,0,830,0.001,3421,7
3572,490.125,0.2550099999999996,-10718.0,1.7244232892990112,1,955,0.001,3921,8
3675,491.22222222222223,0.16001000000000054,-10129.633333333333,2.3882367610931396,1,1080,0.001,4421,9
3672,492.1,0.06501000000000057,-9419.57,1.9151923656463623,1,1205,0.001,4921,10
3748,492.8181818181818,0.05,-9245.718181818182,1.9413396120071411,1,1330,0.001,5421,11
3815,493.4166666666667,0.05,-8969.791666666666,1.5486682653427124,1,1455,0.001,5921,12
3872,493.9230769230769,0.05,-8895.353846153846,1.8307759761810303,1,1580,0.001,6421,13
3921,494.35714285714283,0.05,-8849.757142857143,1.096102237701416,1,1705,0.001,6921,14
3949,484.0,0.05,-8828.56,2.261737823486328,1,1789,0.001,7260,15
3991,485.0,0.05,-8790.1375,1.5236530303955078,1,1914,0.001,7760,16
4027,485.88235294117646,0.05,-8790.011764705883,1.78286612033844,2,2039,0.001,8260,17
4040,470.55555555555554,0.05,-8557.95,1.6578985452651978,2,2092,0.001,8470,18
4069,472.10526315789474,0.05,-8592.336842105264,1.4130702018737793,2,2217,0.001,8970,19
4099,473.5,0.05,-8539.345,1.290358543395996,2,2342,0.001,9470,20
4124,474.76190476190476,0.05,-8536.209523809524,1.3701632022857666,2,2467,0.001,9970,21
4128,458.6818181818182,0.05,-8355.063636363637,6.1725993156433105,2,2497,0.001,10091,22
4130,440.95652173913044,0.05,-8119.099999999999,2.80686092376709,2,2510,0.001,10142,23
4156,443.4166666666667,0.05,-7875.925,2.568857192993164,2,2635,0.001,10642,24
4180,445.68,0.05,-7629.7480000000005,2.1795496940612793,2,2760,0.001,11142,25
