#{"t_start": 1784785201.0213602, "env_id": "None"}
r,l,t
-13854.2,221,0.073964
-12328.8,316,0.122119
-5555.0,137,0.142555
-6787.6,153,0.165831
-17812.9,500,0.24122
-11569.0,264,0.282108
-26293.9,483,0.662512
-24660.8,500,0.739187
-22830.5,486,0.813028
-20080.3,500,0.887913
-13881.4,500,0.962261
-20731.4,500,1.335361
-11364.5,500,1.410913
-23232.4,459,1.489029
-14432.8,500,1.563953
-12881.4,500,1.933687
-10634.2,500,2.007977
-11250.6,500,2.081451
-11831.8,500,2.155145
-6967.5,500,2.525174
-6942.7,500,2.599573
-5924.2,500,2.673276
-6495.0,500,2.747408
-5895.5,500,3.118152
-4260.3,500,3.192279
-4063.8,500,3.26472
-4264.8,500,3.338552
-4125.1,500,3.698411
-3970.6,500,3.769938
-3256.8,500,3.840689
-3242.5,500,3.911016
-3590.3,500,4.272276
-2858.1,500,4.343909
-2508.1,500,4.413993
-2721.9,500,4.484792
-2789.4,500,4.845738
-2457.0,500,4.916382
-2429.2,500,4.986847
-2478.3,500,5.057284
-2531.5,500,5.415979
-1955.1,500,5.486272
-2209.8,500,5.556281
-1852.4,500,5.625915
-2451.6,500,5.986506
-1607.2,500,6.056493
-1768.7,500,6.128022
-1929.6,500,6.197568
-1932.8,500,6.268119
-1647.8,500,6.630937
-1588.2,500,6.700905
-1609.1,500,6.770532
-1547.0,500,6.839909
-1573.7,500,7.200339
-1623.9,500,7.269589
-1329.7,500,7.338227
-1442.4,500,7.40717
-1382.8,500,7.775106
-1275.8,500,7.845194
-1178.4,500,7.914825
-1196.1,500,7.984706
-1135.7,500,8.351496
-1029.2,500,8.42146
-1204.3,500,8.491488
-1284.8,500,8.561048
-953.0,500,8.915539
-1089.9,500,8.983983
-878.3,500,9.052249
-1199.9,500,9.121568
-1001.8,500,9.480331
-1196.5,500,9.550634
-1031.7,500,9.619722
-1154.1,500,9.689591
-1048.3,500,10.048884
-1164.3,500,10.118552
-1069.1,500,10.187365
-965.3,500,10.256502
-1087.8,500,10.615167
-907.3,500,10.684239
-909.4,500,10.753783
-1102.8,500,10.823339
-786.9,500,11.183335
-1133.6,500,11.253931
-925.7,500,11.323739
-897.5,500,11.393105
-843.1,500,11.754191
-910.2,500,11.824293
-834.7,500,11.893148
-806.7,500,11.962155
-937.2,500,12.320252
-833.3,500,12.389293
-876.8,500,12.457651
-945.5,500,12.525605
-960.6,500,12.595242
-777.2,500,12.962463
-1017.4,500,13.032005
-1071.9,500,13.10199
-868.5,500,13.17192
-718.4,500,13.53724
-889.9,500,13.607077
-839.4,500,13.676776
-868.2,500,13.746944
-749.8,500,14.104099
-1007.6,500,14.17284
-865.6,500,14.24126
-935.8,500,14.309832
