time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_range,train/explained_variance,train/loss,train/policy_gradient_loss
6200,265.1666666666667,0,-11317.916666666666,2048,1,,,,,,,,,,
4328,369.09090909090907,0,-15968.581818181818,4096,2,0.01005859375,659874.387109375,10,0.0003,-1.6042437270283698,0.0117849745,0.3,0.00012928247451782227,324762.90625,-0.00763002633175347
3934,401.26666666666665,1,-16361.033333333331,6144,3,0.009423828125,546146.4137695313,20,0.0003,-1.5934747997671366,0.0078071863,0.3,0.0012058019638061523,294344.21875,-0.006152827553160023
3794,422.05263157894734,2,-15369.131578947365,8192,4,0.004736328125,441590.47333984374,30,0.0003,-1.5682231076061726,0.0153355105,0.3,0.00048470497131347656,187933.5625,-0.010612184304045513
3711,435.60869565217394,2,-13840.995652173911,10240,5,0.07421875,176350.66684570312,40,0.0003,-1.5067564897239207,0.023745384,0.3,0.0009575486183166504,78451.40625,-0.01891270560445264
3660,445.14814814814815,3,-12475.085185185182,12288,6,0.0982421875,46634.28695068359,50,0.0003,-1.408587021753192,0.02781295,0.3,0.001139223575592041,22095.390625,-0.02530162764596753
3642,452.2258064516129,3,-11336.203225806448,14336,7,0.09140625,18666.60740661621,60,0.0003,-1.310958245024085,0.025986599,0.3,0.0014889836311340332,9857.673828125,-0.028633930695650633
3628,457.6857142857143,4,-10374.305714285712,16384,8,0.1357421875,12638.536810302734,70,0.0003,-1.197285222634673,0.03000848,0.3,0.0007432103157043457,5802.52783203125,-0.03604829886025982
3618,462.02564102564105,5,-9570.63076923077,18432,9,0.094921875,6423.885290527343,80,0.0003,-1.1345162872225045,0.022522211,0.3,5.626678466796875e-05,3145.37060546875,-0.02514050721511012
3611,465.5581395348837,5,-8879.1488372093,20480,10,0.07080078125,5077.47010269165,90,0.0003,-1.0233267158269883,0.01733205,0.3,0.00011330842971801758,2070.453369140625,-0.02060735679260688
3605,469.1458333333333,6,-8156.1104166666655,22528,11,0.0951171875,3330.386138153076,100,0.0003,-0.9206984730437398,0.023418384,0.3,7.587671279907227e-05,1468.5013427734375,-0.023723708125180563
3599,471.5192307692308,6,-7651.642307692306,24576,12,0.0853515625,2208.7544300079344,110,0.0003,-0.8021208677440882,0.023317691,0.3,0.00013059377670288086,920.01025390625,-0.022884009065455756
3597,473.55357142857144,7,-7211.698214285714,26624,13,0.054443359375,1550.1591590881349,120,0.0003,-0.7074061451479793,0.015512382,0.3,5.4895877838134766e-05,689.7828979492188,-0.015254252497106791
3590,475.31666666666666,7,-6814.803333333332,28672,14,0.056787109375,1165.3849494934082,130,0.0003,-0.6091763002797961,0.015426551,0.3,0.0001081228256225586,419.91815185546875,-0.015753195350407624
3585,476.859375,8,-6461.596874999999,30720,15,0.06630859375,652.5080432891846,140,0.0003,-0.5300569685176015,0.0213194,0.3,7.212162017822266e-05,256.1068115234375,-0.0164760913758073
3587,478.22058823529414,9,-6142.107352941176,32768,16,0.041357421875,478.6803225517273,150,0.0003,-0.47687777541577814,0.010469949,0.3,5.7697296142578125e-05,145.7931365966797,-0.009313609564560465
3585,479.43055555555554,9,-5861.769444444444,34816,17,0.062646484375,330.1554096698761,160,0.0003,-0.4496209372766316,0.01042185,0.3,9.417533874511719e-05,126.39147186279297,-0.009219718087115325
3584,480.5131578947368,10,-5609.136842105262,36864,18,0.033251953125,347.98377909660337,170,0.0003,-0.39557083742693067,0.010075396,0.3,6.252527236938477e-05,124.02654266357422,-0.006124115809507202
3584,481.4875,10,-5378.77125,38912,19,0.039794921875,295.158238697052,180,0.0003,-0.3730697172693908,0.012580747,0.3,2.300739288330078e-05,121.84632873535156,-0.007958478425280191
3582,482.3690476190476,11,-5167.2071428571435,40960,20,0.050146484375,180.13833832740784,190,0.0003,-0.35610491121187804,0.01122903,0.3,4.982948303222656e-05,47.75749969482422,-0.007200634549371898
3581,483.17045454545456,12,-4970.910227272727,43008,21,0.0478515625,169.61227667331696,200,0.0003,-0.31178864650428295,0.0112234615,0.3,3.546476364135742e-05,64.9516372680664,-0.007062699283414986
3581,484.0752688172043,12,-4752.6182795698915,45056,22,0.057763671875,103.54581826925278,210,0.0003,-0.3031526234466583,0.009797466,0.3,4.124641418457031e-05,48.39138412475586,0.0017540755012305453
3578,484.7319587628866,13,-4595.139175257732,47104,23,0.04140625,139.59883641004564,220,0.0003,-0.28170515480451286,0.011983807,0.3,4.273653030395508e-05,55.50774383544922,-0.0031819426571018995
3576,487.98,13,-4351.902000000001,49152,24,0.023828125,155.3722815990448,230,0.0003,-0.25419778786599634,0.011346146,0.3,7.87973403930664e-05,50.446224212646484,-0.002859873884881381
3577,496.92,14,-3962.6469999999995,51200,25,0.034326171875,79.04676855802536,240,0.0003,-0.23224451723508538,0.010416439,0.3,0.0003204345703125,32.84756088256836,-0.0019017528102267534
