#{"t_start": 1784785231.809246, "env_id": "None"}
r,l,t
-8792.7,198,0.031765
-15887.8,295,0.076374
-23712.6,374,0.133307
-23460.8,321,0.217222
-11174.6,199,0.247076
-11005.2,160,0.271013
-7912.6,167,0.295932
-6193.1,191,0.324278
-26613.2,419,0.399966
-7809.0,150,0.422728
-8717.2,216,0.455531
-9370.6,168,0.480936
-11298.2,330,0.530535
-15806.2,319,0.578818
-9156.0,210,0.610676
-13539.6,185,0.639331
-7584.8,143,0.661217
-16977.5,500,0.747037
-20797.9,500,0.822698
-4660.6,131,0.842408
-21800.2,376,0.899843
-38473.1,500,0.976258
-3651.8,92,0.990227
-8569.5,264,1.040175
-3611.1,123,1.058174
-23802.5,308,1.105513
-15483.5,425,1.168212
-23821.6,500,1.242975
-22264.1,500,1.32889
-15668.2,465,1.398311
-20738.9,500,1.473574
-9211.5,315,1.520664
-4460.2,120,1.538811
-7122.5,170,1.563532
-8114.5,211,1.594495
-10382.5,182,1.622764
-6092.3,176,1.659681
-25303.3,500,1.736431
-8247.3,165,1.761363
-4214.5,88,1.77468
-10521.2,203,1.805062
-20951.2,441,1.871495
-14428.3,274,1.91279
-12813.0,263,1.961852
-15442.6,296,2.006749
-21242.2,500,2.081561
-17184.5,389,2.140545
-1879.0,66,2.150238
-14612.5,500,2.224242
-12447.1,278,2.27528
-18567.0,284,2.318232
-15437.3,362,2.371944
-5843.4,126,2.390724
-24183.3,317,2.437998
-15342.2,465,2.507698
-19465.0,500,2.593884
-19224.0,387,2.652705
-12239.3,241,2.689805
-23600.1,500,2.765912
-26367.3,500,2.842653
-31380.7,500,2.929972
-3650.2,75,2.941427
-11537.9,344,2.993034
-15225.4,363,3.04795
-14641.5,500,3.123007
-13610.6,500,3.198334
-18244.1,332,3.258822
-11338.1,246,3.296179
-7453.8,207,3.327247
-11091.3,211,3.35915
-5077.7,132,3.379522
-19107.8,263,3.419323
-10086.6,263,3.458122
-8756.2,156,3.482106
-13705.2,269,3.522994
-5510.7,180,3.560645
-8634.9,213,3.593156
-8179.9,209,3.624811
-18131.5,328,3.675216
-8125.3,318,3.723006
-12491.5,244,3.760088
-3234.8,120,3.777795
-21306.1,500,3.853137
-17023.2,268,3.904184
-14166.1,372,3.960311
-17445.7,500,4.034077
-9428.0,169,4.05945
-26848.3,500,4.133691
-26751.5,500,4.218495
-9218.2,305,4.263918
-22668.6,500,4.338602
-16502.5,500,4.412524
-19326.6,360,4.466479
-14239.7,500,4.550195
-31314.0,500,4.626488
-6200.1,145,4.647926
-4896.5,84,4.660738
-11361.6,500,4.734312
-25199.9,500,4.819893
-7048.2,210,4.851734
-15322.4,500,4.926792
-11990.2,500,5.000575
-7533.4,137,5.021041
-8808.6,161,5.045125
-11723.1,500,5.220083
-25289.3,500,5.378465
-13993.2,500,5.452561
-7515.1,239,5.488063
-15011.1,500,5.564689
-14232.3,327,5.613559
-7512.6,211,5.655661
-13032.3,500,5.730577
-17856.6,357,5.784256
-10649.0,500,5.858274
-17916.3,300,5.903539
-17993.3,500,5.988259
-6809.1,155,6.011775
-14977.1,500,6.086619
-24407.9,500,6.162039
-10159.9,500,6.236354
-9214.6,500,6.320649
-19454.6,500,6.396451
-15726.5,430,6.460893
-19249.4,500,6.535879
-19733.7,500,6.621133
-20789.9,500,6.696777
-13204.1,500,6.77132
-27526.8,500,6.847182
-18163.9,500,6.932442
-14626.7,500,7.007939
-9941.2,282,7.050639
-10546.1,304,7.095285
-14827.0,500,7.169615
-13568.8,456,7.247809
-11068.5,500,7.32515
-19469.8,500,7.40032
-13911.7,500,7.474336
-13505.4,500,7.557487
-11362.2,500,7.631483
-12558.1,500,7.706114
-5634.8,135,7.726305
-12862.9,500,7.800963
-16260.6,500,7.887199
-14373.4,500,7.962399
-15217.6,500,8.037982
-11430.8,500,8.113098
