time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_range,train/explained_variance,train/loss,train/policy_gradient_loss
5847,238.125,0,-13517.425,2048,1,,,,,,,,,,
6076,237.94117647058823,0,-12825.541176470588,4096,2,0.0,1387574.25,1,0.005,-1.6094244718551636,0.0,10.0,0.00016695261001586914,693787.125,-5.8673322200775146e-08
6172,267.1304347826087,0,-14104.143478260867,6144,3,0.0,1223308.5,2,0.005,-1.6093716621398926,0.0,10.0,0.00032401084899902344,611654.25,-1.126900315284729e-07
6239,277.2857142857143,1,-14274.410714285714,8192,4,0.0,1263805.5,3,0.005,-1.609259843826294,0.0,10.0,0.0006688237190246582,631902.75,-3.725290298461914e-09
6283,284.0833333333333,1,-13823.49722222222,10240,5,0.0,1004381.625,4,0.005,-1.6091474294662476,0.0,10.0,0.0005974769592285156,502190.8125,-7.404014468193054e-08
6303,280.7906976744186,1,-13660.558139534884,12288,6,0.0,685852.1875,5,0.005,-1.6089434623718262,0.0,10.0,0.0010564327239990234,342926.09375,-1.1688098311424255e-07
6326,287.51020408163265,2,-13685.261224489797,14336,7,0.0,1077511.625,6,0.005,-1.608626127243042,0.0,10.0,0.0007497668266296387,538755.8125,-3.725290298461914e-09
6341,289.45454545454544,2,-13861.783636363638,16384,8,0.0,755647.1875,7,0.005,-1.6081459522247314,0.0,10.0,0.001178145408630371,377823.59375,1.1920928955078125e-07
6340,300.8,2,-14388.230000000003,18432,9,0.0,1112879.75,8,0.005,-1.6075477600097656,0.0,10.0,0.001086413860321045,556439.875,-4.0978193283081055e-08
6349,308.030303030303,3,-14444.546969696969,20480,10,0.0,1217108.75,9,0.005,-1.6069812774658203,0.0,10.0,0.0007178187370300293,608554.375,8.172355592250824e-08
6353,298.7866666666667,3,-14109.345333333333,22528,11,0.0,551557.1875,10,0.005,-1.6066005229949951,0.0,10.0,0.0004999637603759766,275778.59375,6.938353180885315e-08
6355,295.43373493975906,3,-13780.910843373495,24576,12,0.0,1137291.25,11,0.005,-1.6054515838623047,0.0,10.0,0.0008981227874755859,568645.625,3.5390257835388184e-08
6365,299.20454545454544,4,-13962.805681818181,26624,13,0.0,811773.625,12,0.005,-1.6050809621810913,0.0,10.0,0.0011870861053466797,405886.8125,-8.754432201385498e-08
6375,306.39784946236557,4,-14227.89569892473,28672,14,0.0,1052396.25,13,0.005,-1.6039289236068726,0.0,10.0,0.0005088448524475098,526198.125,-7.078051567077637e-08
6380,308.40816326530614,4,-14195.981632653064,30720,15,0.0,756044.4375,14,0.005,-1.6030020713806152,0.0,10.0,0.0006979703903198242,378022.21875,2.7474015951156616e-08
6201,313.45,5,-13958.035000000002,32768,16,0.0,898508.5,15,0.005,-1.6018917560577393,0.0,10.0,0.0006254911422729492,449254.25,-1.3597309589385986e-07
6193,323.24,5,-14123.114000000003,34816,17,0.0,451068.6875,16,0.005,-1.6010375022888184,0.0,10.0,0.0006865262985229492,225534.34375,9.546056389808655e-08
6208,329.49,5,-14249.300000000003,36864,18,0.0,607130.0,17,0.005,-1.6001865863800049,0.0,10.0,0.0008034110069274902,303565.0,1.7695128917694092e-08
6220,336.45,6,-14357.169,38912,19,0.0,614495.5625,18,0.005,-1.599184513092041,0.0,10.0,0.0004938244819641113,307247.78125,6.332993507385254e-08
6232,343.43,6,-14268.673999999999,40960,20,0.0,600524.5,19,0.005,-1.597005844116211,0.0,10.0,0.00036072731018066406,300262.25,-3.4458935260772705e-08
6241,349.87,6,-14414.032000000001,43008,21,0.0,530830.375,20,0.005,-1.5960571765899658,0.0,10.0,0.0005766749382019043,265415.1875,8.568167686462402e-08
6251,351.73,7,-14371.652,45056,22,0.0,765646.5625,21,0.005,-1.5921692848205566,0.0,10.0,0.0002664923667907715,382823.28125,4.0745362639427185e-08
6259,363.9,7,-14634.722,47104,23,0.0,461800.5625,22,0.005,-1.5918407440185547,0.0,10.0,0.00048422813415527344,230900.28125,1.5529803931713104e-07
6269,371.28,7,-14501.581,49152,24,0.0,417616.3125,23,0.005,-1.591414451599121,0.0,10.0,0.0007707476615905762,208808.15625,-1.4854595065116882e-07
6275,377.95,8,-14435.144000000002,51200,25,0.0,308536.375,24,0.005,-1.58870267868042,0.0,10.0,0.0007188916206359863,154268.1875,6.076879799365997e-08
